date,description,amount,type
2026-04-13,SALARY CREDIT,72578,credit
2026-04-14,NETFLIX SUB,-2888,debit
2026-04-15,SWIGGY ORDER,-2599,debit
2026-04-16,GYM MEMBERSHIP,-3895,debit
2026-04-17,GROCERY STORE,-4883,debit
2026-04-18,OLA CAB,-2227,debit
2026-04-19,UBER TRIP,-1211,debit
2026-04-20,SWIGGY ORDER,-1934,debit
2026-04-21,AMAZON ORDER,-3900,debit
2026-04-22,AMAZON ORDER,-3842,debit
2026-04-23,UBER TRIP,-4520,debit
2026-04-24,SWIGGY ORDER,-3672,debit
2026-04-25,UBER TRIP,-1291,debit
2026-04-26,SALARY CREDIT,80945,credit
2026-04-27,ZOMATO ORDER,-2829,debit
2026-04-28,ZOMATO ORDER,-3402,debit
2026-04-29,SWIGGY ORDER,-790,debit
2026-04-30,ELECTRICITY BILL,-2330,debit
